関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,レベル,プロセス名,プロセス ID,
"[portaudio_x86.dll]",1,0,0.03,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,5,"mic.exe",4144,
"[portaudio_x86.dll]",1,0,0.03,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,6,"mic.exe",4144,
"[portaudio_x86.dll]",1,0,0.03,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,7,"mic.exe",4144,
"[portaudio_x86.dll]",1,0,0.03,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,8,"mic.exe",4144,
"[portaudio_x86.dll]",1,0,0.03,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,9,"mic.exe",4144,
"_waveInMessage@16",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x71679763,10,"mic.exe",4144,
"waveIDMessage(struct _MMDRV *,unsigned int,unsigned int,unsigned int,unsigned long,unsigned long)",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x7167919B,11,"mic.exe",4144,
"_mregHandleInternalMessages@28",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x71675FA3,12,"mic.exe",4144,
"wdmPnPInterfaceFromEndpointWorker(unsigned short const *)",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x716949AD,13,"mic.exe",4144,
"CDeviceEnumerator::GetDevice(unsigned short const *,struct IMMDevice * *)",1,0,0.03,0.00,"",0,"MMDevAPI.DLL","C:\Windows\system32\MMDevAPI.DLL",0x74F8690A,14,"mic.exe",4144,
"operator new[](unsigned int)",1,0,0.03,0.00,"",0,"MMDevAPI.DLL","C:\Windows\system32\MMDevAPI.DLL",0x74F81421,15,"mic.exe",4144,
