関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,レベル,プロセス名,プロセス ID,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,17,"mic.exe",4144,
"_WinMessage@16",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_sysevents.c",252,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D273BE0,18,"mic.exe",4144,
"_DIB_HandleMessage",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",133,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24D820,19,"mic.exe",4144,
"_DefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFF8,20,"mic.exe",4144,
"_RealDefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFC5,21,"mic.exe",4144,
"_RealDefWindowProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF69ED,22,"mic.exe",4144,
"_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,23,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,24,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,25,"mic.exe",4144,
"_ImeWndProcW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF75C4,26,"mic.exe",4144,
"_ImeWndProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,27,"mic.exe",4144,
"_ImeSetContextHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD7E2,28,"mic.exe",4144,
"_SendOpenStatusNotify@12",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD9FA,29,"mic.exe",4144,
"_SendMessageW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF9679,30,"mic.exe",4144,
"_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,31,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,32,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,33,"mic.exe",4144,
"_WinMessage@16",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_sysevents.c",252,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D273BE0,34,"mic.exe",4144,
"_DIB_HandleMessage",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",133,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24D820,35,"mic.exe",4144,
"_DefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFF8,36,"mic.exe",4144,
"_RealDefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFC5,37,"mic.exe",4144,
"_RealDefWindowProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF69ED,38,"mic.exe",4144,
"_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,39,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,40,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,41,"mic.exe",4144,
"[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,42,"mic.exe",4144,
"_CallWindowProcW@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000D32,43,"mic.exe",4144,
"_CallWindowProcAorW@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000CC9,44,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,45,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,46,"mic.exe",4144,
"_ImeWndProcW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF75C4,47,"mic.exe",4144,
"_ImeWndProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,48,"mic.exe",4144,
"_ImeNotifyHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD718,49,"mic.exe",4144,
"_SendMessageToUI@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD611,50,"mic.exe",4144,
"_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,51,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,52,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,53,"mic.exe",4144,
"[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,54,"mic.exe",4144,
"[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,55,"mic.exe",4144,
"[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,56,"mic.exe",4144,
"[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,57,"mic.exe",4144,
"[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,58,"mic.exe",4144,
"_memset",1,1,0.03,0.03,"",0,"MSVCR90.dll","C:\Windows\WinSxS\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57\MSVCR90.dll",0x7365B680,59,"mic.exe",4144,
"_LoadLibraryExW@12",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232AA4,2,"mic.exe",4144,
"[snxhk.dll]",1,0,0.03,0.00,"<不明>",0,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll",0x70B80000,3,"mic.exe",4144,
"_LdrLoadDll@16",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C45A,4,"mic.exe",4144,
"_LdrpLoadDll@24",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C1FE,5,"mic.exe",4144,
"_LdrpFindOrMapDll@24",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C10D,6,"mic.exe",4144,
"_LdrpFindLoadedDllByMapping@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A80CE3,7,"mic.exe",4144,
"_NtAreMappedFilesTheSame@8",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A60560,8,"mic.exe",4144,
"_VerNtUserCreateWindowEx@52",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFA75E,2,"mic.exe",4144,
"_NtUserCreateWindowEx@60",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFA948,3,"mic.exe",4144,
"_KiUserCallbackDispatcher@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A500DC,4,"mic.exe",4144,
"___fnDWORD@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6E19,5,"mic.exe",4144,
"_DispatchClientMessage@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6D97,6,"mic.exe",4144,
"_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,7,"mic.exe",4144,
"_InternalCallWinProc@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,8,"mic.exe",4144,
"_ImeWndProcW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF75C4,9,"mic.exe",4144,
"_ImeWndProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,10,"mic.exe",4144,
"_ImeSystemHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFADAD,11,"mic.exe",4144,
"_CtfLoadThreadLayout@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFB550,12,"mic.exe",4144,
"_ImmLoadIME@4",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E3197A,13,"mic.exe",4144,
"_LoadImeDpi@8",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E31A66,14,"mic.exe",4144,
"_LoadIME@12",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E38AE7,15,"mic.exe",4144,
"_CheckAndApplyAppCompat@4",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E3890E,16,"mic.exe",4144,
"_ApphelpCheckIME@4",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734B66F4,17,"mic.exe",4144,
"_ApphelpCheckExe@16",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734A5D8D,18,"mic.exe",4144,
"_ApphelpCheckModule@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349A7ED,19,"mic.exe",4144,
"_ApphelpQueryExe@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349DFBD,20,"mic.exe",4144,
"_SdbGetMatchingExe@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x7349DF94,21,"mic.exe",4144,
"_SdbGetMatchingExeEx@32",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494AC8,22,"mic.exe",4144,
"_SdbpSearchDB@24",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73495709,23,"mic.exe",4144,
"_SdbpCheckExe@36",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494FA9,24,"mic.exe",4144,
"_SdbpCheckExe@36",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73494FA9,25,"mic.exe",4144,
"_SdbFindFirstTag@12",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x734935C7,26,"mic.exe",4144,
"_SdbGetTagFromTagID@8",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493660,27,"mic.exe",4144,
"_SdbpReadMappedData@16",1,0,0.03,0.00,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493690,28,"mic.exe",4144,
"_memcpy",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A62320,29,"mic.exe",4144,
"_GlobalAlloc@8",1,1,0.03,0.03,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76234DE7,2,"mic.exe",4144,
"_RtlFreeHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DFA5,2,"mic.exe",4144,
"@RtlpLowFragHeapAllocFromContext@8",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E269,3,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,4,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,5,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,6,"mic.exe",4144,
"[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,7,"mic.exe",4144,
"[libfftw3f-3.dll]",1,1,0.03,0.03,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,8,"mic.exe",4144,
"_SetupDiGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,"SETUPAPI.dll","C:\Windows\syswow64\SETUPAPI.dll",0x7627ACF4,2,"mic.exe",4144,
"_DevObjGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77133F8C,3,"mic.exe",4144,
"_DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77134C9C,4,"mic.exe",4144,
"__DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77134D10,5,"mic.exe",4144,
"_pSetupOpenAndAddNewDevInfoElem@52",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77132E33,6,"mic.exe",4144,
"_CM_Locate_DevNode_ExW@16",1,0,0.03,0.00,"",0,"CFGMGR32.dll","C:\Windows\syswow64\CFGMGR32.dll",0x76A76971,7,"mic.exe",4144,
"_memset",1,1,0.03,0.03,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9790,8,"mic.exe",4144,
"__endthreadex",3,0,0.10,0.00,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71F8C51C,0,"mic.exe",4144,
"__endthreadex",3,0,0.10,0.00,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71F8C51C,1,"mic.exe",4144,
"[portaudio_x86.dll]",3,0,0.10,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,2,"mic.exe",4144,
"[portaudio_x86.dll]",3,1,0.10,0.03,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,3,"mic.exe",4144,
"[portaudio_x86.dll]",2,0,0.07,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,4,"mic.exe",4144,
"aqua::recordStream(void const *,void *,unsigned long,struct PaStreamCallbackTimeInfo const *,unsigned long,void *)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.cpp",24,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1000,5,"mic.exe",4144,
"aqua::SoundBuffer<float>::write(float *,int)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp",53,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1050,6,"mic.exe",4144,
"boost::unique_lock<class boost::shared_mutex>::unique_lock<class boost::shared_mutex>(class boost::shared_mutex &)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp",123,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C11A0,7,"mic.exe",4144,
"boost::unique_lock<class boost::shared_mutex>::lock(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp",333,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C14C0,8,"mic.exe",4144,
"boost::shared_mutex::lock(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp",381,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1D10,9,"mic.exe",4144,
"boost::detail::get_system_time_sentinel(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\thread_time.hpp",31,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1D90,10,"mic.exe",4144,
"boost::posix_time::ptime::ptime(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\ptime.hpp",50,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1DD0,11,"mic.exe",4144,
"boost::date_time::base_time<class boost::posix_time::ptime,class boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> > >::base_time<class boost::posix_time::ptime,class boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> > >(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time.hpp",66,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C2620,12,"mic.exe",4144,
"boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> >::get_time_rep(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp",142,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C2F10,13,"mic.exe",4144,
"boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config>::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config>(class boost::gregorian::date const &,class boost::posix_time::time_duration const &)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp",36,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C5880,14,"mic.exe",4144,
"boost::date_time::int_adapter<__int64>::operator+<unsigned int>(class boost::date_time::int_adapter<unsigned int> const &)const ",1,1,0.03,0.03,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp",206,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C7480,15,"mic.exe",4144,
"boost::unique_lock<class boost::shared_mutex>::~unique_lock<class boost::shared_mutex>(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp",326,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1200,7,"mic.exe",4144,
"boost::shared_mutex::unlock(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp",607,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1250,8,"mic.exe",4144,
"boost::shared_mutex::interlocked_compare_exchange<struct boost::shared_mutex::state_data>(struct boost::shared_mutex::state_data *,struct boost::shared_mutex::state_data,struct boost::shared_mutex::state_data)",1,1,0.03,0.03,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp",48,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C6D60,9,"mic.exe",4144,
