関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,関数アドレス,モジュール名,モジュール パス,プロセス名,プロセス ID,
"_ImeSystemHandler@16",2,0,0.07,0.00,"",0,0x76FFADAD,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_ImeWndProcW@16",2,0,0.07,0.00,"",0,0x76FF75C4,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_ImeWndProcWorker@24",2,0,0.07,0.00,"",0,0x76FF74C5,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_ImmLoadIME@4",1,0,0.03,0.00,"",0,0x76E3197A,"IMM32.DLL","C:\Windows\system32\IMM32.DLL","mic.exe",4144,
"_ImmSetActiveContext@12",1,0,0.03,0.00,"",0,0x76E32246,"IMM32.DLL","C:\Windows\system32\IMM32.DLL","mic.exe",4144,
"_InternalCallWinProc@20",3,0,0.10,0.00,"",0,0x76FF62D7,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_IsWindowInDestroy@4",1,1,0.03,0.03,"",0,0x77000DA5,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_KernelBaseGetGlobalData@0",1,1,0.03,0.03,"",0,0x76226C21,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll","mic.exe",4144,
"_KiUserCallbackDispatcher@12",2,0,0.07,0.00,"",0,0x77A500DC,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_LdrLoadDll@16",2,1,0.07,0.03,"",0,0x77A7C45A,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_LdrpFindLoadedDllByMapping@12",1,0,0.03,0.00,"",0,0x77A80CE3,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_LdrpFindOrMapDll@24",1,0,0.03,0.00,"",0,0x77A7C10D,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_LdrpLoadDll@24",1,0,0.03,0.00,"",0,0x77A7C1FE,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_LoadIME@12",1,0,0.03,0.00,"",0,0x76E38AE7,"IMM32.DLL","C:\Windows\system32\IMM32.DLL","mic.exe",4144,
"_LoadImeDpi@8",1,0,0.03,0.00,"",0,0x76E31A66,"IMM32.DLL","C:\Windows\system32\IMM32.DLL","mic.exe",4144,
"_LoadLibraryA@4",3,0,0.10,0.00,"",0,0x751F49BF,"KERNEL32.dll","C:\Windows\syswow64\KERNEL32.dll","mic.exe",4144,
"_LoadLibraryExA@12",3,0,0.10,0.00,"",0,0x76232CCC,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll","mic.exe",4144,
"_LoadLibraryExW@12",4,0,0.13,0.00,"",0,0x76232AA4,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll","mic.exe",4144,
"_main",2955,0,96.13,0.00,"",0,0x013D1F30,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"_mainCRTStartup",3071,0,99.90,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,0x013D0860,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"_malloc",1,0,0.03,0.00,"",0,0x75FC9CEE,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll","mic.exe",4144,
"_memcpy",1,1,0.03,0.03,"",0,0x77A62320,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_memset",1,1,0.03,0.03,"",0,0x7365B680,"MSVCR90.dll","C:\Windows\WinSxS\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57\MSVCR90.dll","mic.exe",4144,
"_memset",1,1,0.03,0.03,"",0,0x75FC9790,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll","mic.exe",4144,
"_mregHandleInternalMessages@28",1,0,0.03,0.00,"",0,0x71675FA3,"WINMM.dll","C:\Windows\system32\WINMM.dll","mic.exe",4144,
"_NtAreMappedFilesTheSame@8",1,1,0.03,0.03,"",0,0x77A60560,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_NtUserCreateWindowEx@60",1,0,0.03,0.00,"",0,0x76FFA948,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_NtUserSetWindowPos@28",1,0,0.03,0.00,"",0,0x76FF8E4E,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_pSetupOpenAndAddNewDevInfoElem@52",1,0,0.03,0.00,"",0,0x77132E33,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll","mic.exe",4144,
"_RealDefWindowProcA@16",1,0,0.03,0.00,"",0,0x76FFCFC5,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_RealDefWindowProcWorker@24",1,0,0.03,0.00,"",0,0x76FF69ED,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_RtlAllocateHeap@12",5,0,0.16,0.00,"",0,0x77A6E046,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_RtlFreeHeap@12",3,0,0.10,0.00,"",0,0x77A6DFA5,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_SdbFindFirstTag@12",2,0,0.07,0.00,"",0,0x734935C7,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbGetFirstChild@8",1,0,0.03,0.00,"",0,0x7349360D,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbGetMatchingExe@24",1,0,0.03,0.00,"",0,0x7349DF94,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbGetMatchingExeEx@32",1,0,0.03,0.00,"",0,0x73494AC8,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbGetTagFromTagID@8",1,0,0.03,0.00,"",0,0x73493660,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbpCheckExe@36",1,0,0.03,0.00,"",0,0x73494FA9,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbpFindNextIndexedWildCardTag@8",1,0,0.03,0.00,"",0,0x73495D2F,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbpGetNextTagId@8",1,0,0.03,0.00,"",0,0x73493471,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbpGetTagHeadSize@8",1,0,0.03,0.00,"",0,0x73493734,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbpReadMappedData@16",2,1,0.07,0.03,"",0,0x73493690,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SdbpSearchDB@24",1,0,0.03,0.00,"",0,0x73495709,"apphelp.dll","C:\Windows\system32\apphelp.dll","mic.exe",4144,
"_SDL_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",1532,0x6D27AF30,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"_SDL_main",2955,0,96.13,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\main.cpp",23,0x013CBC10,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"_SDL_PollEvent",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\events\sdl_events.c",394,0x6D25BB80,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"_SDL_PumpEvents",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\events\sdl_events.c",369,0x6D25BB00,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"_SDL_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",584,0x6D278010,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"_SendMessageToUI@20",1,0,0.03,0.00,"",0,0x76FFD611,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_SendMessageW@16",1,0,0.03,0.00,"",0,0x76FF9679,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_SendMessageWorker@24",1,0,0.03,0.00,"",0,0x76FF954C,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_SendOpenStatusNotify@12",1,0,0.03,0.00,"",0,0x76FFD9FA,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_SetupDiGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,0x7627ACF4,"SETUPAPI.dll","C:\Windows\syswow64\SETUPAPI.dll","mic.exe",4144,
"_SwapBuffers@4",3,0,0.10,0.00,"",0,0x761059FB,"GDI32.dll","C:\Windows\syswow64\GDI32.dll","mic.exe",4144,
"_ThemeDefWindowProc(struct HWND__ *,unsigned int,unsigned int,long,int)",1,0,0.03,0.00,"",0,0x74C60A12,"uxtheme.dll","C:\Windows\system32\uxtheme.dll","mic.exe",4144,
"_ThemeDefWindowProcA@16",1,0,0.03,0.00,"",0,0x74C622AB,"uxtheme.dll","C:\Windows\system32\uxtheme.dll","mic.exe",4144,
"_UserCallWinProcCheckWow@32",3,0,0.10,0.00,"",0,0x76FF6C83,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_VerNtUserCreateWindowEx@52",1,0,0.03,0.00,"",0,0x76FFA75E,"USER32.dll","C:\Windows\syswow64\USER32.dll","mic.exe",4144,
"_waveInMessage@16",1,0,0.03,0.00,"",0,0x71679763,"WINMM.dll","C:\Windows\system32\WINMM.dll","mic.exe",4144,
"_wcsncmp",1,1,0.03,0.03,"",0,0x77A77F95,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll","mic.exe",4144,
"_wglCbPresentBuffers@8",1,0,0.03,0.00,"",0,0x6CA0C3E9,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"_wglCreateContext@4",1,0,0.03,0.00,"",0,0x6CA0B8E0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"_wglCreateLayerContext@8",1,0,0.03,0.00,"",0,0x6CA0B7A4,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"_wglSwapBuffers@4",1,0,0.03,0.00,"",0,0x6CA15E21,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"_wglWndProc@16",1,0,0.03,0.00,"",0,0x6CA15EF0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll","mic.exe",4144,
"_WIN_GL_SetupWindow",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",173,0x6D27DE80,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"_WIN_GL_SwapBuffers",3,0,0.10,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",572,0x6D27F620,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"_WinMessage@16",2,0,0.07,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_sysevents.c",252,0x6D273BE0,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,
"aqua::AudioCapture<float>::init(int)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.hpp",81,0x013CE280,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::analyze(void)",2,1,0.07,0.03,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",63,0x013CC110,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",766,766,24.92,24.92,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",89,0x013CC460,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",1285,1285,41.80,41.80,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp",81,0x013CC3F0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",2947,529,95.87,17.21,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h",42,0x013CC2A0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::recordStream(void const *,void *,unsigned long,struct PaStreamCallbackTimeInfo const *,unsigned long,void *)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.cpp",24,0x013C1000,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::SDLW::init(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp",63,0x013CB8A0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::SDLW::processEvent(void)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp",115,0x013CBB60,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::SoundBuffer<float>::read(float *,int)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp",75,0x013CCE10,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::SoundBuffer<float>::write(float *,int)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp",53,0x013C1050,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::base_time<class boost::posix_time::ptime,class boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> > >::base_time<class boost::posix_time::ptime,class boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> > >(enum boost::date_time::special_values)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time.hpp",66,0x013C2620,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config>::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config>(class boost::gregorian::date const &,class boost::posix_time::time_duration const &)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp",36,0x013C5880,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> >::get_time_rep(enum boost::date_time::special_values)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp",142,0x013C2F10,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::int_adapter<__int64>::from_special(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp",71,0x013C3C20,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::int_adapter<__int64>::operator+<unsigned int>(class boost::date_time::int_adapter<unsigned int> const &)const ",1,1,0.03,0.03,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp",206,0x013C7480,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::int_adapter<__int64>::pos_infinity(void)",1,1,0.03,0.03,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp",51,0x013C4C30,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::time_duration<class boost::posix_time::time_duration,class boost::date_time::time_resolution_traits<struct boost::date_time::time_resolution_traits_adapted64_impl,5,1000000,6,int> >::time_duration<class boost::posix_time::time_duration,class boost::date_time::time_resolution_traits<struct boost::date_time::time_resolution_traits_adapted64_impl,5,1000000,6,int> >(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_duration.hpp",69,0x013C3B90,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::detail::get_system_time_sentinel(void)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\thread_time.hpp",31,0x013C1D90,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::posix_time::ptime::ptime(enum boost::date_time::special_values)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\ptime.hpp",50,0x013C1DD0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::posix_time::time_duration::time_duration(enum boost::date_time::special_values)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\posix_time_config.hpp",81,0x013C3770,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
