種類,関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,ルート関数名,プロセス名,プロセス ID,
"Callee","_DispatchMessageWorker@8",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF76D7,"_DispatchMessageA@4","mic.exe",4144,
"Root","_DispatchMessageWorker@8",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF76D7,"_DispatchMessageWorker@8","mic.exe",4144,
"Caller","_DispatchMessageA@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF7BBB,"_DispatchMessageWorker@8","mic.exe",4144,
"Callee","_UserCallWinProcCheckWow@32",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,"_DispatchMessageWorker@8","mic.exe",4144,
"Root","_FocusSetIMCContext@8",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD9BB,"_FocusSetIMCContext@8","mic.exe",4144,
"Caller","_ImeSystemHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFADAD,"_FocusSetIMCContext@8","mic.exe",4144,
"Callee","_ImmSetActiveContext@12",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E32246,"_FocusSetIMCContext@8","mic.exe",4144,
"Root","_free",3,0,0.10,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9894,"_free","mic.exe",4144,
"Caller","[libfftw3f-3.dll]",3,0,0.10,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,"_free","mic.exe",4144,
"Callee","[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,"_free","mic.exe",4144,
"Callee","_RtlFreeHeap@12",2,0,0.07,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DFA5,"_free","mic.exe",4144,
"Root","_GetAPI@12",3,0,0.10,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x76105865,"_GetAPI@12","mic.exe",4144,
"Caller","_GetPixelFormat@4",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x760E481A,"_GetAPI@12","mic.exe",4144,
"Caller","_SwapBuffers@4",2,0,0.07,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x761059FB,"_GetAPI@12","mic.exe",4144,
"Callee","_LoadLibraryA@4",3,0,0.10,0.00,"",0,"KERNEL32.dll","C:\Windows\syswow64\KERNEL32.dll",0x751F49BF,"_GetAPI@12","mic.exe",4144,
"Root","_GetPixelFormat@4",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x760E481A,"_GetPixelFormat@4","mic.exe",4144,
"Caller","___DrvSwapBuffers@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0C768,"_GetPixelFormat@4","mic.exe",4144,
"Caller","_GetPixelFormat@4",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x760E481A,"_GetPixelFormat@4","mic.exe",4144,
"Callee","_GetAPI@12",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x76105865,"_GetPixelFormat@4","mic.exe",4144,
"Callee","_GetPixelFormat@4",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x760E481A,"_GetPixelFormat@4","mic.exe",4144,
"Root","_glColor4f@16",9,9,0.29,0.29,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6C9D197C,"_glColor4f@16","mic.exe",4144,
"Caller","aqua::FFTViewer::render(int,int,int,int)",9,9,0.29,0.29,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h",42,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC2A0,"_glColor4f@16","mic.exe",4144,
"Root","_GlobalAlloc@8",2,1,0.07,0.03,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76234DE7,"_GlobalAlloc@8","mic.exe",4144,
"Caller","[ig7icd32.dll]",1,0,0.03,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,"_GlobalAlloc@8","mic.exe",4144,
"Caller","不明なフレーム",1,1,0.03,0.03,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_GlobalAlloc@8","mic.exe",4144,
"Callee","_KernelBaseGetGlobalData@0",1,1,0.03,0.03,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76226C21,"_GlobalAlloc@8","mic.exe",4144,
"Root","_glVertex2f@8",19,19,0.62,0.62,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6C9D1CA0,"_glVertex2f@8","mic.exe",4144,
"Caller","aqua::FFTViewer::render(int,int,int,int)",19,19,0.62,0.62,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h",42,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CC2A0,"_glVertex2f@8","mic.exe",4144,
"Root","_ImeNotifyHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD718,"_ImeNotifyHandler@16","mic.exe",4144,
"Caller","_ImeWndProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,"_ImeNotifyHandler@16","mic.exe",4144,
"Callee","_SendMessageToUI@20",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD611,"_ImeNotifyHandler@16","mic.exe",4144,
"Root","_ImeSetContextHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD7E2,"_ImeSetContextHandler@16","mic.exe",4144,
"Caller","_ImeWndProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,"_ImeSetContextHandler@16","mic.exe",4144,
"Callee","_SendOpenStatusNotify@12",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD9FA,"_ImeSetContextHandler@16","mic.exe",4144,
"Root","_ImeSystemHandler@16",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFADAD,"_ImeSystemHandler@16","mic.exe",4144,
"Caller","_ImeWndProcWorker@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,"_ImeSystemHandler@16","mic.exe",4144,
"Callee","_CtfLoadThreadLayout@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFB550,"_ImeSystemHandler@16","mic.exe",4144,
"Callee","_FocusSetIMCContext@8",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD9BB,"_ImeSystemHandler@16","mic.exe",4144,
"Root","_ImeWndProcW@16",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF75C4,"_ImeWndProcW@16","mic.exe",4144,
"Caller","_InternalCallWinProc@20",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,"_ImeWndProcW@16","mic.exe",4144,
"Callee","_ImeWndProcWorker@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,"_ImeWndProcW@16","mic.exe",4144,
"Root","_ImeWndProcWorker@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF74C5,"_ImeWndProcWorker@24","mic.exe",4144,
"Caller","_ImeWndProcW@16",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF75C4,"_ImeWndProcWorker@24","mic.exe",4144,
"Callee","_ImeNotifyHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD718,"_ImeWndProcWorker@24","mic.exe",4144,
"Callee","_ImeSetContextHandler@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD7E2,"_ImeWndProcWorker@24","mic.exe",4144,
"Callee","_ImeSystemHandler@16",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFADAD,"_ImeWndProcWorker@24","mic.exe",4144,
"Root","_ImmLoadIME@4",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E3197A,"_ImmLoadIME@4","mic.exe",4144,
"Caller","_CtfLoadThreadLayout@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFB550,"_ImmLoadIME@4","mic.exe",4144,
"Callee","_LoadImeDpi@8",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E31A66,"_ImmLoadIME@4","mic.exe",4144,
"Root","_ImmSetActiveContext@12",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E32246,"_ImmSetActiveContext@12","mic.exe",4144,
"Caller","_FocusSetIMCContext@8",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFD9BB,"_ImmSetActiveContext@12","mic.exe",4144,
"Callee","_SendMessageW@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF9679,"_ImmSetActiveContext@12","mic.exe",4144,
"Root","_InternalCallWinProc@20",3,0,0.10,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF62D7,"_InternalCallWinProc@20","mic.exe",4144,
"Caller","_UserCallWinProcCheckWow@32",3,0,0.10,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,"_InternalCallWinProc@20","mic.exe",4144,
"Callee","[imjp14.ime]",1,0,0.03,0.00,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,"_InternalCallWinProc@20","mic.exe",4144,
"Callee","_ImeWndProcW@16",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF75C4,"_InternalCallWinProc@20","mic.exe",4144,
"Callee","_wglWndProc@16",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15EF0,"_InternalCallWinProc@20","mic.exe",4144,
"Callee","_WinMessage@16",2,0,0.07,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_sysevents.c",252,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D273BE0,"_InternalCallWinProc@20","mic.exe",4144,
"Root","_IsWindowInDestroy@4",1,1,0.03,0.03,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x77000DA5,"_IsWindowInDestroy@4","mic.exe",4144,
"Caller","CThemeWnd::GetCustomDrawing(void)const ",1,1,0.03,0.03,"",0,"uxtheme.dll","C:\Windows\system32\uxtheme.dll",0x74C66E25,"_IsWindowInDestroy@4","mic.exe",4144,
"Root","_KernelBaseGetGlobalData@0",1,1,0.03,0.03,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76226C21,"_KernelBaseGetGlobalData@0","mic.exe",4144,
"Caller","_GlobalAlloc@8",1,1,0.03,0.03,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76234DE7,"_KernelBaseGetGlobalData@0","mic.exe",4144,
"Root","_KiUserCallbackDispatcher@12",2,0,0.07,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A500DC,"_KiUserCallbackDispatcher@12","mic.exe",4144,
"Caller","_NtUserCreateWindowEx@60",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFA948,"_KiUserCallbackDispatcher@12","mic.exe",4144,
"Caller","_NtUserSetWindowPos@28",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF8E4E,"_KiUserCallbackDispatcher@12","mic.exe",4144,
"Callee","___fnDWORD@4",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6E19,"_KiUserCallbackDispatcher@12","mic.exe",4144,
"Root","_LdrLoadDll@16",2,1,0.07,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C45A,"_LdrLoadDll@16","mic.exe",4144,
"Caller","[snxhk.dll]",2,1,0.07,0.03,"<不明>",0,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll",0x70B80000,"_LdrLoadDll@16","mic.exe",4144,
"Callee","_LdrpLoadDll@24",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C1FE,"_LdrLoadDll@16","mic.exe",4144,
"Root","_LdrpFindLoadedDllByMapping@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A80CE3,"_LdrpFindLoadedDllByMapping@12","mic.exe",4144,
"Caller","_LdrpFindOrMapDll@24",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C10D,"_LdrpFindLoadedDllByMapping@12","mic.exe",4144,
"Callee","_NtAreMappedFilesTheSame@8",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A60560,"_LdrpFindLoadedDllByMapping@12","mic.exe",4144,
"Root","_LdrpFindOrMapDll@24",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C10D,"_LdrpFindOrMapDll@24","mic.exe",4144,
"Caller","_LdrpLoadDll@24",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C1FE,"_LdrpFindOrMapDll@24","mic.exe",4144,
"Callee","_LdrpFindLoadedDllByMapping@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A80CE3,"_LdrpFindOrMapDll@24","mic.exe",4144,
"Root","_LdrpLoadDll@24",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C1FE,"_LdrpLoadDll@24","mic.exe",4144,
"Caller","_LdrLoadDll@16",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C45A,"_LdrpLoadDll@24","mic.exe",4144,
"Callee","_LdrpFindOrMapDll@24",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C10D,"_LdrpLoadDll@24","mic.exe",4144,
"Root","_LoadIME@12",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E38AE7,"_LoadIME@12","mic.exe",4144,
"Caller","_LoadImeDpi@8",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E31A66,"_LoadIME@12","mic.exe",4144,
"Callee","_CheckAndApplyAppCompat@4",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E3890E,"_LoadIME@12","mic.exe",4144,
"Root","_LoadImeDpi@8",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E31A66,"_LoadImeDpi@8","mic.exe",4144,
"Caller","_ImmLoadIME@4",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E3197A,"_LoadImeDpi@8","mic.exe",4144,
"Callee","_LoadIME@12",1,0,0.03,0.00,"",0,"IMM32.DLL","C:\Windows\system32\IMM32.DLL",0x76E38AE7,"_LoadImeDpi@8","mic.exe",4144,
"Root","_LoadLibraryA@4",3,0,0.10,0.00,"",0,"KERNEL32.dll","C:\Windows\syswow64\KERNEL32.dll",0x751F49BF,"_LoadLibraryA@4","mic.exe",4144,
"Caller","_GetAPI@12",3,0,0.10,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x76105865,"_LoadLibraryA@4","mic.exe",4144,
"Callee","_LoadLibraryExA@12",3,0,0.10,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232CCC,"_LoadLibraryA@4","mic.exe",4144,
"Root","_LoadLibraryExA@12",3,0,0.10,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232CCC,"_LoadLibraryExA@12","mic.exe",4144,
"Caller","_LoadLibraryA@4",3,0,0.10,0.00,"",0,"KERNEL32.dll","C:\Windows\syswow64\KERNEL32.dll",0x751F49BF,"_LoadLibraryExA@12","mic.exe",4144,
"Callee","_LoadLibraryExW@12",3,0,0.10,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232AA4,"_LoadLibraryExA@12","mic.exe",4144,
"Root","_LoadLibraryExW@12",4,0,0.13,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232AA4,"_LoadLibraryExW@12","mic.exe",4144,
"Caller","_LoadLibraryExA@12",3,0,0.10,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232CCC,"_LoadLibraryExW@12","mic.exe",4144,
"Caller","不明なフレーム",1,0,0.03,0.00,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_LoadLibraryExW@12","mic.exe",4144,
"Callee","[snxhk.dll]",3,0,0.10,0.00,"<不明>",0,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll",0x70B80000,"_LoadLibraryExW@12","mic.exe",4144,
"Callee","_BaseGetProcessDllPath@12",1,0,0.03,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x7622C223,"_LoadLibraryExW@12","mic.exe",4144,
"Root","_main",2955,0,96.13,0.00,"",0,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D1F30,"_main","mic.exe",4144,
"Caller","__tmainCRTStartup",2955,0,96.13,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0880,"_main","mic.exe",4144,
"Callee","_SDL_main",2955,0,96.13,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\main.cpp",23,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CBC10,"_main","mic.exe",4144,
"Root","_mainCRTStartup",3071,0,99.90,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0860,"_mainCRTStartup","mic.exe",4144,
"Callee","__tmainCRTStartup",2955,0,96.13,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013D0880,"_mainCRTStartup","mic.exe",4144,
"Callee","不明なフレーム",116,0,3.77,0.00,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_mainCRTStartup","mic.exe",4144,
"Root","_malloc",1,0,0.03,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9CEE,"_malloc","mic.exe",4144,
"Caller","[libfftw3f-3.dll]",1,0,0.03,0.00,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,"_malloc","mic.exe",4144,
"Callee","_RtlAllocateHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,"_malloc","mic.exe",4144,
"Root","_memcpy",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A62320,"_memcpy","mic.exe",4144,
"Caller","_SdbpReadMappedData@16",1,1,0.03,0.03,"",0,"apphelp.dll","C:\Windows\system32\apphelp.dll",0x73493690,"_memcpy","mic.exe",4144,
"Root","_memset",1,1,0.03,0.03,"",0,"MSVCR90.dll","C:\Windows\WinSxS\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57\MSVCR90.dll",0x7365B680,"_memset","mic.exe",4144,
"Caller","[imjp14.ime]",1,1,0.03,0.03,"<不明>",0,"imjp14.ime","C:\Windows\system32\imjp14.ime",0x6B3F0000,"_memset","mic.exe",4144,
"Root","_memset",1,1,0.03,0.03,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9790,"_memset","mic.exe",4144,
"Caller","_CM_Locate_DevNode_ExW@16",1,1,0.03,0.03,"",0,"CFGMGR32.dll","C:\Windows\syswow64\CFGMGR32.dll",0x76A76971,"_memset","mic.exe",4144,
"Root","_mregHandleInternalMessages@28",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x71675FA3,"_mregHandleInternalMessages@28","mic.exe",4144,
"Caller","waveIDMessage(struct _MMDRV *,unsigned int,unsigned int,unsigned int,unsigned long,unsigned long)",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x7167919B,"_mregHandleInternalMessages@28","mic.exe",4144,
"Callee","wdmPnPInterfaceFromEndpointWorker(unsigned short const *)",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x716949AD,"_mregHandleInternalMessages@28","mic.exe",4144,
"Root","_NtAreMappedFilesTheSame@8",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A60560,"_NtAreMappedFilesTheSame@8","mic.exe",4144,
"Caller","_LdrpFindLoadedDllByMapping@12",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A80CE3,"_NtAreMappedFilesTheSame@8","mic.exe",4144,
"Root","_NtUserCreateWindowEx@60",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFA948,"_NtUserCreateWindowEx@60","mic.exe",4144,
"Caller","_VerNtUserCreateWindowEx@52",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFA75E,"_NtUserCreateWindowEx@60","mic.exe",4144,
"Callee","_KiUserCallbackDispatcher@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A500DC,"_NtUserCreateWindowEx@60","mic.exe",4144,
"Root","_NtUserSetWindowPos@28",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF8E4E,"_NtUserSetWindowPos@28","mic.exe",4144,
"Caller","DIB_ResizeWindow",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c",512,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D250370,"_NtUserSetWindowPos@28","mic.exe",4144,
"Callee","_KiUserCallbackDispatcher@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A500DC,"_NtUserSetWindowPos@28","mic.exe",4144,
"Root","_pSetupOpenAndAddNewDevInfoElem@52",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77132E33,"_pSetupOpenAndAddNewDevInfoElem@52","mic.exe",4144,
"Caller","__DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77134D10,"_pSetupOpenAndAddNewDevInfoElem@52","mic.exe",4144,
"Callee","_CM_Locate_DevNode_ExW@16",1,0,0.03,0.00,"",0,"CFGMGR32.dll","C:\Windows\syswow64\CFGMGR32.dll",0x76A76971,"_pSetupOpenAndAddNewDevInfoElem@52","mic.exe",4144,
"Root","_RealDefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFC5,"_RealDefWindowProcA@16","mic.exe",4144,
"Caller","_DefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFF8,"_RealDefWindowProcA@16","mic.exe",4144,
"Callee","_RealDefWindowProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF69ED,"_RealDefWindowProcA@16","mic.exe",4144,
"Root","_RealDefWindowProcWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF69ED,"_RealDefWindowProcWorker@24","mic.exe",4144,
"Caller","_RealDefWindowProcA@16",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFC5,"_RealDefWindowProcWorker@24","mic.exe",4144,
"Callee","_SendMessageWorker@24",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF954C,"_RealDefWindowProcWorker@24","mic.exe",4144,
"Root","_RtlAllocateHeap@12",5,0,0.16,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,"_RtlAllocateHeap@12","mic.exe",4144,
"Caller","[ig7icd32.dll]",3,0,0.10,0.00,"<不明>",0,"ig7icd32.dll","C:\Windows\system32\ig7icd32.dll",0x0F650000,"_RtlAllocateHeap@12","mic.exe",4144,
"Caller","_malloc",1,0,0.03,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9CEE,"_RtlAllocateHeap@12","mic.exe",4144,
"Caller","_RtlAllocateHeap@12",1,0,0.03,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E046,"_RtlAllocateHeap@12","mic.exe",4144,
"Caller","operator new[](unsigned int)",1,0,0.03,0.00,"",0,"MMDevAPI.DLL","C:\Windows\system32\MMDevAPI.DLL",0x74F81421,"_RtlAllocateHeap@12","mic.exe",4144,
"Callee","@RtlpAllocateHeap@24",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A738FD,"_RtlAllocateHeap@12","mic.exe",4144,
"Callee","@RtlpLowFragHeapAllocFromContext@8",4,3,0.13,0.10,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6E269,"_RtlAllocateHeap@12","mic.exe",4144,
