種類,関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,ルート関数名,プロセス名,プロセス ID,
"Caller","_free",1,0,0.03,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9894,"[libfftw3f-3.dll]","mic.exe",4144,
"Caller","不明なフレーム",84,42,2.73,1.37,"<不明>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"[libfftw3f-3.dll]","mic.exe",4144,
"Callee","[libfftw3f-3.dll]",42,40,1.37,1.30,"<不明>",0,"libfftw3f-3.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\libfftw3f-3.dll",0x63740000,"[libfftw3f-3.dll]","mic.exe",4144,
"Callee","_free",3,0,0.10,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9894,"[libfftw3f-3.dll]","mic.exe",4144,
"Callee","_malloc",1,0,0.03,0.00,"",0,"msvcrt.dll","C:\Windows\syswow64\msvcrt.dll",0x75FC9CEE,"[libfftw3f-3.dll]","mic.exe",4144,
"Root","[portaudio_x86.dll]",4,1,0.13,0.03,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,"[portaudio_x86.dll]","mic.exe",4144,
"Caller","[portaudio_x86.dll]",4,1,0.13,0.03,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,"[portaudio_x86.dll]","mic.exe",4144,
"Caller","__endthreadex",3,0,0.10,0.00,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71F8C51C,"[portaudio_x86.dll]","mic.exe",4144,
"Caller","aqua::AudioCapture<float>::init(int)",1,0,0.03,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.hpp",81,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013CE280,"[portaudio_x86.dll]","mic.exe",4144,
"Callee","[portaudio_x86.dll]",4,1,0.13,0.03,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,"[portaudio_x86.dll]","mic.exe",4144,
"Callee","_waveInMessage@16",1,0,0.03,0.00,"",0,"WINMM.dll","C:\Windows\system32\WINMM.dll",0x71679763,"[portaudio_x86.dll]","mic.exe",4144,
"Callee","aqua::recordStream(void const *,void *,unsigned long,struct PaStreamCallbackTimeInfo const *,unsigned long,void *)",2,0,0.07,0.00,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.cpp",24,"mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe",0x013C1000,"[portaudio_x86.dll]","mic.exe",4144,
"Root","[snxhk.dll]",3,1,0.10,0.03,"<不明>",0,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll",0x70B80000,"[snxhk.dll]","mic.exe",4144,
"Caller","[snxhk.dll]",1,1,0.03,0.03,"<不明>",0,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll",0x70B80000,"[snxhk.dll]","mic.exe",4144,
"Caller","_LoadLibraryExW@12",3,0,0.10,0.00,"",0,"KERNELBASE.dll","C:\Windows\syswow64\KERNELBASE.dll",0x76232AA4,"[snxhk.dll]","mic.exe",4144,
"Callee","[snxhk.dll]",1,1,0.03,0.03,"<不明>",0,"snxhk.dll","C:\Program Files\AVAST Software\Avast\snxhk.dll",0x70B80000,"[snxhk.dll]","mic.exe",4144,
"Callee","_LdrLoadDll@16",2,1,0.07,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A7C45A,"[snxhk.dll]","mic.exe",4144,
"Root","___DrvSwapBuffers@8",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA0C768,"___DrvSwapBuffers@8","mic.exe",4144,
"Caller","_wglSwapBuffers@4",1,0,0.03,0.00,"",0,"OPENGL32.dll","C:\Windows\system32\OPENGL32.dll",0x6CA15E21,"___DrvSwapBuffers@8","mic.exe",4144,
"Callee","_GetPixelFormat@4",1,0,0.03,0.00,"",0,"GDI32.dll","C:\Windows\syswow64\GDI32.dll",0x760E481A,"___DrvSwapBuffers@8","mic.exe",4144,
"Root","___fnDWORD@4",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6E19,"___fnDWORD@4","mic.exe",4144,
"Caller","_KiUserCallbackDispatcher@12",2,0,0.07,0.00,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A500DC,"___fnDWORD@4","mic.exe",4144,
"Callee","_DispatchClientMessage@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6D97,"___fnDWORD@4","mic.exe",4144,
"Root","__DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77134D10,"__DevObjOpenDeviceInterface@16","mic.exe",4144,
"Caller","_DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77134C9C,"__DevObjOpenDeviceInterface@16","mic.exe",4144,
"Callee","_pSetupOpenAndAddNewDevInfoElem@52",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77132E33,"__DevObjOpenDeviceInterface@16","mic.exe",4144,
"Root","__endthreadex",3,0,0.10,0.00,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71F8C51C,"__endthreadex","mic.exe",4144,
"Caller","__endthreadex",3,0,0.10,0.00,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71F8C51C,"__endthreadex","mic.exe",4144,
"Callee","[portaudio_x86.dll]",3,0,0.10,0.00,"<不明>",0,"portaudio_x86.dll","D:\PATH\portaudio_x86.dll",0x6F260000,"__endthreadex","mic.exe",4144,
"Callee","__endthreadex",3,0,0.10,0.00,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71F8C51C,"__endthreadex","mic.exe",4144,
"Root","__SEH_prolog4",1,1,0.03,0.03,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77A6DEC4,"__SEH_prolog4","mic.exe",4144,
