関数名,サンプル数 (関数のみ),サンプル % (関数のみ),サンプル数 (子を含む),サンプル % (子を含む),ソース開始行,ソース開始文字番号,ソース終了行,ソース終了文字番号,関数アドレス,関数行番号,ソース ファイル,モジュール名,モジュール パス,プロセス名,プロセス ID,ソース/行番号,
"_WIN_GL_SwapBuffers",0,0.00,3,0.10,573,0,573,0,0x6D27F620,572,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c","SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c;[573,0]->[573,0]",
"_WinMessage@16",0,0.00,2,0.07,682,0,682,0,0x6D273BE0,252,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_sysevents.c","SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_sysevents.c;[682,0]->[682,0]",
"aqua::AudioCapture<float>::init(int)",0,0.00,1,0.03,82,0,82,0,0x013CE280,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.hpp;[82,0]->[82,0]",
"aqua::FFTAnalyzer::analyze(void)",0,0.00,1,0.03,64,0,64,0,0x013CC110,63,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[64,0]->[64,0]",
"aqua::FFTAnalyzer::analyze(void)",1,0.03,1,0.03,71,0,71,0,0x013CC110,63,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[71,0]->[71,0]",
"aqua::FFTAnalyzer::getFreqSize(void)",643,20.92,643,20.92,89,0,89,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[89,0]->[89,0]",
"aqua::FFTAnalyzer::getFreqSize(void)",45,1.46,45,1.46,90,0,90,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[90,0]->[90,0]",
"aqua::FFTAnalyzer::getFreqSize(void)",78,2.54,78,2.54,91,0,91,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[91,0]->[91,0]",
"aqua::FFTAnalyzer::getPowerSpectrum(int)",851,27.68,851,27.68,81,0,81,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[81,0]->[81,0]",
"aqua::FFTAnalyzer::getPowerSpectrum(int)",176,5.73,176,5.73,82,0,82,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[82,0]->[82,0]",
"aqua::FFTAnalyzer::getPowerSpectrum(int)",108,3.51,108,3.51,83,0,83,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[83,0]->[83,0]",
"aqua::FFTAnalyzer::getPowerSpectrum(int)",67,2.18,67,2.18,84,0,84,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[84,0]->[84,0]",
"aqua::FFTAnalyzer::getPowerSpectrum(int)",83,2.70,83,2.70,85,0,85,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp;[85,0]->[85,0]",
"aqua::FFTViewer::render(int,int,int,int)",17,0.55,783,25.47,48,0,48,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h;[48,0]->[48,0]",
"aqua::FFTViewer::render(int,int,int,int)",37,1.20,1322,43.01,50,0,50,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h;[50,0]->[50,0]",
"aqua::FFTViewer::render(int,int,int,int)",224,7.29,224,7.29,51,0,51,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h;[51,0]->[51,0]",
"aqua::FFTViewer::render(int,int,int,int)",152,4.94,307,9.99,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h;[52,0]->[52,0]",
"aqua::FFTViewer::render(int,int,int,int)",88,2.86,300,9.76,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h;[53,0]->[53,0]",
"aqua::FFTViewer::render(int,int,int,int)",11,0.36,11,0.36,54,0,54,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h;[54,0]->[54,0]",
"aqua::recordStream(void const *,void *,unsigned long,struct PaStreamCallbackTimeInfo const *,unsigned long,void *)",0,0.00,2,0.07,26,0,26,0,0x013C1000,24,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.cpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\audiocapture.cpp;[26,0]->[26,0]",
"aqua::SDLW::init(void)",0,0.00,1,0.03,84,0,84,0,0x013CB8A0,63,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp;[84,0]->[84,0]",
"aqua::SDLW::processEvent(void)",0,0.00,1,0.03,117,0,117,0,0x013CBB60,115,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\render\sdlw.hpp;[117,0]->[117,0]",
"aqua::SoundBuffer<float>::read(float *,int)",0,0.00,1,0.03,77,0,77,0,0x013CCE10,75,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp;[77,0]->[77,0]",
"aqua::SoundBuffer<float>::write(float *,int)",0,0.00,1,0.03,55,0,55,0,0x013C1050,53,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp;[55,0]->[55,0]",
"aqua::SoundBuffer<float>::write(float *,int)",0,0.00,1,0.03,71,0,71,0,0x013C1050,53,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\soundbuffer.hpp;[71,0]->[71,0]",
"boost::date_time::base_time<class boost::posix_time::ptime,class boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> > >::base_time<class boost::posix_time::ptime,class boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> > >(enum boost::date_time::special_values)",0,0.00,2,0.07,66,0,66,0,0x013C2620,66,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time.hpp;[66,0]->[66,0]",
"boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config>::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config>(class boost::gregorian::date const &,class boost::posix_time::time_duration const &)",0,0.00,1,0.03,38,0,38,0,0x013C5880,36,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp;[38,0]->[38,0]",
"boost::date_time::counted_time_system<struct boost::date_time::counted_time_rep<class boost::posix_time::millisec_posix_time_system_config> >::get_time_rep(enum boost::date_time::special_values)",0,0.00,2,0.07,149,0,149,0,0x013C2F10,142,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_system_counted.hpp;[149,0]->[149,0]",
"boost::date_time::int_adapter<__int64>::from_special(enum boost::date_time::special_values)",0,0.00,1,0.03,75,0,75,0,0x013C3C20,71,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp;[75,0]->[75,0]",
"boost::date_time::int_adapter<__int64>::operator+<unsigned int>(class boost::date_time::int_adapter<unsigned int> const &)const ",1,0.03,1,0.03,206,0,206,0,0x013C7480,206,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp;[206,0]->[206,0]",
"boost::date_time::int_adapter<__int64>::pos_infinity(void)",1,0.03,1,0.03,51,0,51,0,0x013C4C30,51,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp;[51,0]->[51,0]",
"boost::date_time::time_duration<class boost::posix_time::time_duration,class boost::date_time::time_resolution_traits<struct boost::date_time::time_resolution_traits_adapted64_impl,5,1000000,6,int> >::time_duration<class boost::posix_time::time_duration,class boost::date_time::time_resolution_traits<struct boost::date_time::time_resolution_traits_adapted64_impl,5,1000000,6,int> >(enum boost::date_time::special_values)",0,0.00,1,0.03,69,0,69,0,0x013C3B90,69,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_duration.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\time_duration.hpp;[69,0]->[69,0]",
"boost::detail::get_system_time_sentinel(void)",0,0.00,2,0.07,32,0,32,0,0x013C1D90,31,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\thread_time.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\thread_time.hpp;[32,0]->[32,0]",
"boost::posix_time::ptime::ptime(enum boost::date_time::special_values)",0,0.00,2,0.07,50,0,50,0,0x013C1DD0,50,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\ptime.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\ptime.hpp;[50,0]->[50,0]",
"boost::posix_time::time_duration::time_duration(enum boost::date_time::special_values)",0,0.00,1,0.03,81,0,81,0,0x013C3770,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\posix_time_config.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\posix_time\posix_time_config.hpp;[81,0]->[81,0]",
"boost::shared_lock<class boost::shared_mutex>::lock(void)",0,0.00,1,0.03,642,0,642,0,0x013CD300,633,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp;[642,0]->[642,0]",
"boost::shared_lock<class boost::shared_mutex>::shared_lock<class boost::shared_mutex>(class boost::shared_mutex &)",0,0.00,1,0.03,518,0,518,0,0x013CD070,517,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp;[518,0]->[518,0]",
"boost::shared_mutex::interlocked_compare_exchange<struct boost::shared_mutex::state_data>(struct boost::shared_mutex::state_data *,struct boost::shared_mutex::state_data,struct boost::shared_mutex::state_data)",1,0.03,1,0.03,48,0,48,0,0x013C6D60,48,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp;[48,0]->[48,0]",
"boost::shared_mutex::lock(void)",0,0.00,1,0.03,382,0,382,0,0x013C1D10,381,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp;[382,0]->[382,0]",
"boost::shared_mutex::lock_shared(void)",0,0.00,1,0.03,136,0,136,0,0x013CD430,135,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp;[136,0]->[136,0]",
"boost::shared_mutex::unlock(void)",0,0.00,1,0.03,620,0,620,0,0x013C1250,607,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp;[620,0]->[620,0]",
"boost::unique_lock<class boost::shared_mutex>::~unique_lock<class boost::shared_mutex>(void)",0,0.00,1,0.03,329,0,329,0,0x013C1200,326,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp;[329,0]->[329,0]",
"boost::unique_lock<class boost::shared_mutex>::lock(void)",0,0.00,1,0.03,344,0,344,0,0x013C14C0,333,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp;[344,0]->[344,0]",
"boost::unique_lock<class boost::shared_mutex>::unique_lock<class boost::shared_mutex>(class boost::shared_mutex &)",0,0.00,1,0.03,124,0,124,0,0x013C11A0,123,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\lock_types.hpp;[124,0]->[124,0]",
"CDeviceEnumerator::GetDevice(unsigned short const *,struct IMMDevice * *)",0,0.00,1,0.03,0,0,0,0,0x74F8690A,0,"","MMDevAPI.DLL","C:\Windows\system32\MMDevAPI.DLL","mic.exe",4144,";[0,0]->[0,0]",
"ChoosePixelFormatARB",0,0.00,1,0.03,133,0,133,0,0x6D27ECB0,115,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c","SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c;[133,0]->[133,0]",
"CThemeWnd::ForwardMouseEvent(struct _THEME_MSG *)",0,0.00,1,0.03,0,0,0,0,0x74C76C8C,0,"","uxtheme.dll","C:\Windows\system32\uxtheme.dll","mic.exe",4144,";[0,0]->[0,0]",
"CThemeWnd::GetCustomDrawing(void)const ",0,0.00,1,0.03,0,0,0,0,0x74C66E25,0,"","uxtheme.dll","C:\Windows\system32\uxtheme.dll","mic.exe",4144,";[0,0]->[0,0]",
"DIB_ResizeWindow",0,0.00,1,0.03,572,0,572,0,0x6D250370,512,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c","SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll","mic.exe",4144,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c;[572,0]->[572,0]",
"OnDwpNcLButtonDown(class CThemeWnd *,struct _THEME_MSG *)",0,0.00,1,0.03,0,0,0,0,0x74C76E3A,0,"","uxtheme.dll","C:\Windows\system32\uxtheme.dll","mic.exe",4144,";[0,0]->[0,0]",
"operator new[](unsigned int)",0,0.00,1,0.03,0,0,0,0,0x74F81421,0,"","MMDevAPI.DLL","C:\Windows\system32\MMDevAPI.DLL","mic.exe",4144,";[0,0]->[0,0]",
"waveIDMessage(struct _MMDRV *,unsigned int,unsigned int,unsigned int,unsigned long,unsigned long)",0,0.00,1,0.03,0,0,0,0,0x7167919B,0,"","WINMM.dll","C:\Windows\system32\WINMM.dll","mic.exe",4144,";[0,0]->[0,0]",
"wdmPnPInterfaceFromEndpointWorker(unsigned short const *)",0,0.00,1,0.03,0,0,0,0,0x716949AD,0,"","WINMM.dll","C:\Windows\system32\WINMM.dll","mic.exe",4144,";[0,0]->[0,0]",
"不明なフレーム",0,0.00,116,3.77,0,0,0,0,0xBAADF00D,0,"<不明>","UNKNOWN","UNKNOWN","mic.exe",4144,"<不明>;[0,0]->[0,0]",
